# ----------------------------------------,,,,,
# Top Events,,,,,
# 20210101-20210711,,,,,
# ----------------------------------------,,,,,
,,,,,
Event Label,Total Events,Unique Events,Event Value,Avg. Value,Status
28 - exxon sings a sone now pays the band - bubbling road dig 9-26-09 ss020,1,1,"231,710","231,710.00",
28 - exxon sings a sone now pays the band - bubbling road dig 9-26-09 ss026,1,1,"185,693","185,693.00",
28 - exxon sings a sone now pays the band - bubbling road dig 9-26-09 ss032,1,1,"159,160","159,160.00",
28 - exxon sings a sone now pays the band - bubbling road dig 9-26-09 ss038,1,1,"181,845","181,845.00",
29,1,1,"1,247,830","1,247,830.00",
29 - polyline locura - bubbling road 9-28-09 - ss005,1,1,"159,595","159,595.00",
29 - polyline locura - bubbling road 9-28-09 - ss011,1,1,"225,597","225,597.00",
29 - xoman to begin work after hunting season - ss108,1,1,"225,829","225,829.00",
4,1,1,"20,971,577","20,971,577.00",
5 inch butcherblock -advantage,1,1,"47,134","47,134.00",
52 mb),1,1,"4,687,360","4,687,360.00",
"6' extension, 2 clips",1,1,"58,870","58,870.00",
8,1,1,"20,971,591","20,971,591.00",
83-0042145 - c,1,1,"125,952","125,952.00",
9,1,1,"20,972,008","20,972,008.00",
acd,1,1,"9,874,174","9,874,174.00",
adu,1,1,145,145.00,
aerial showing the ransom school monitoring area,1,1,"389,887","389,887.00",
agi,1,1,"18,540,005","18,540,005.00",
ana,1,1,"9,708","9,708.00",
ap$,1,1,"3,439","3,439.00",
apa,1,1,"661,504","661,504.00",
api,1,1,"9,030","9,030.00",
arg,1,1,"245,802","245,802.00",
art,1,1,"3,215,101","3,215,101.00",
at,1,1,"9,849","9,849.00",
au,1,1,"12,309,884","12,309,884.00",
ave,1,1,"1,141,231,233","1,141,231,233.00",
avr,1,1,"74,215","74,215.00",
aws,1,1,"251,458","251,458.00",
bag,1,1,0,0.00,
bbb,1,1,"2,238,932","2,238,932.00",
bd,1,1,"2,058","2,058.00",
bdic,1,1,"446,642","446,642.00",
bib,1,1,"7,789","7,789.00",
binarycookies,1,1,241,241.00,
bkml,1,1,"59,198","59,198.00",
bkup_ec6,1,1,"5,909,760","5,909,760.00",
blg,1,1,926,926.00,
blo,1,1,"450,205","450,205.00",
brn,1,1,"9,806","9,806.00",
btw,1,1,"88,597","88,597.00",
bundle,1,1,"2,377,951","2,377,951.00",
cbk,1,1,"16,866","16,866.00",
cbm,1,1,227,227.00,
cdd,1,1,"195,606","195,606.00",
cgr,1,1,"7,304","7,304.00",
ch_,1,1,"253,142","253,142.00",
cjstyles,1,1,"560,128","560,128.00",
class,1,1,"38,820","38,820.00",
cnsdb,1,1,"2,617","2,617.00",
cnt,1,1,"2,441","2,441.00",
copy4,1,1,"16,728","16,728.00",
cov,1,1,"1,566","1,566.00",
cpl,1,1,"22,086","22,086.00",
cse,1,1,"659,635","659,635.00",
ctm,1,1,217,217.00,
cui,1,1,"1,119,435","1,119,435.00",
custom,1,1,0,0.00,
customdestinations-ms,1,1,24,24.00,
cvd,1,1,939,939.00,
cvm,1,1,"44,152","44,152.00",
dat2,1,1,"132,920","132,920.00",
dax,1,1,0,0.00,
dc,1,1,306,306.00,
ddg,1,1,64,64.00,
devicemetadata-ms,1,1,"9,790,926","9,790,926.00",
df2,1,1,"994,816","994,816.00",
directory,1,1,0,0.00,
dlm,1,1,"298,975,232","298,975,232.00",
dmp,1,1,"1,206","1,206.00",
dsy,1,1,64,64.00,
dtf,1,1,133,133.00,
dwfx,1,1,"3,115,783","3,115,783.00",
dwh,1,1,"78,986","78,986.00",
e94,1,1,"2,097,074,694","2,097,074,694.00",
e95,1,1,"2,096,984,112","2,096,984,112.00",
e96,1,1,"2,097,021,096","2,097,021,096.00",
e97,1,1,"2,097,006,867","2,097,006,867.00",
e98,1,1,"2,097,040,900","2,097,040,900.00",
e99,1,1,"2,097,044,799","2,097,044,799.00",
eaa,1,1,"931,059,293","931,059,293.00",
ec6,1,1,"269,312","269,312.00",
edii,1,1,"702,956","702,956.00",
editlayout,1,1,"4,096","4,096.00",
eds,1,1,"722,674","722,674.00",
efi,1,1,"669,568","669,568.00",
emg,1,1,732,732.00,
enc,1,1,"870,864,116","870,864,116.00",
enu,1,1,"5,570","5,570.00",
exe·$ea_information,1,1,8,8.00,
fb,1,1,"1,008,746","1,008,746.00",
fid1207575],1,1,0,0.00,
fingerprint,1,1,0,0.00,
fw,1,1,"8,797","8,797.00",
fzip,1,1,"637,502","637,502.00",
g04,1,1,"301,090","301,090.00",
g07,1,1,"474,510","474,510.00",
g09,1,1,"219,616","219,616.00",
g11,1,1,"156,037","156,037.00",
gcl,1,1,"921,022","921,022.00",
gdt,1,1,"602,112","602,112.00",
gg,1,1,"117,359","117,359.00",
gmr,1,1,"21,294","21,294.00",
gnn,1,1,"16,658","16,658.00",
gpj,1,1,"1,155,072","1,155,072.00",
han,1,1,"3,370","3,370.00",
hash,1,1,106,106.00,
hep,1,1,"3,019","3,019.00",
hg,1,1,"2,104","2,104.00",
hmr,1,1,"18,982,232","18,982,232.00",
home,1,1,"16,823","16,823.00",
hpsign,1,1,256,256.00,
icns,1,1,"63,597","63,597.00",
idml,1,1,"193,762","193,762.00",
ids,1,1,0,0.00,
igs,1,1,"97,580","97,580.00",
im,1,1,"1,921,782","1,921,782.00",
incomplete,1,1,"15,988,954","15,988,954.00",
ipynb,1,1,"205,524","205,524.00",
iso,1,1,"63,922,176","63,922,176.00",
ito,1,1,222,222.00,
its_1041,1,1,"4,427,560","4,427,560.00",
jfif,1,1,"37,085","37,085.00",
jou,1,1,9,9.00,
jrs,1,1,"524,288","524,288.00",
k~e,1,1,152,152.00,
k~m,1,1,"3,968","3,968.00",
l,1,1,916,916.00,
laccdb,1,1,128,128.00,
layout,1,1,"4,096","4,096.00",
lfx,1,1,"67,409","67,409.00",
lim,1,1,0,0.00,
list,1,1,102,102.00,
lof,1,1,"1,616","1,616.00",
log1,1,1,"262,144","262,144.00",
ls,1,1,140,140.00,
lwc,1,1,"15,810","15,810.00",
lwp,1,1,"30,892","30,892.00",
m2_,1,1,387,387.00,
max,1,1,"7,819,264","7,819,264.00",
mb,1,1,"4,096","4,096.00",
mcdx,1,1,"985,784","985,784.00",
mci,1,1,927,927.00,
mem,1,1,402,402.00,
memberinteraction,1,1,"4,107","4,107.00",
mg2,1,1,846,846.00,
mif,1,1,"230,228","230,228.00",
mnr,1,1,6,6.00,
mp,1,1,"17,777","17,777.00",
mpe,1,1,"9,904,132","9,904,132.00",
mvba,1,1,"8,704","8,704.00",
nif,1,1,"203,947","203,947.00",
not_found,1,1,46,46.00,
nsf,1,1,"726,925,312","726,925,312.00",
nsw,1,1,"876,544","876,544.00",
nt,1,1,"11,186","11,186.00",
num,1,1,13,13.00,
o05,1,1,"192,000","192,000.00",
o07,1,1,"204,800","204,800.00",
octet-stream,1,1,"1,541,120","1,541,120.00",
od1,1,1,"23,040","23,040.00",
old,1,1,"2,379,776","2,379,776.00",
olk15message,1,1,"6,972","6,972.00",
other expense,1,1,"20,144,650","20,144,650.00",
p05,1,1,"3,226","3,226.00",
p12,1,1,"5,750","5,750.00",
p2s,1,1,670,670.00,
p7b,1,1,"6,247","6,247.00",
pat,1,1,324,324.00,
pcx,1,1,"138,483","138,483.00",
pdf@synoresource,1,1,82,82.00,
pdf븠ᖾᕫ᷹ꫜ,1,1,"131,420","131,420.00",
pem,1,1,"1,817","1,817.00",
pics,1,1,"4,367,770","4,367,770.00",
pkpass,1,1,"14,945","14,945.00",
ppc,1,1,"40,003","40,003.00",
ppsx,1,1,"2,756,222","2,756,222.00",
ppt 1,1,1,"11,309,568","11,309,568.00",
ppx,1,1,"838,705","838,705.00",
pro,1,1,"861,127","861,127.00",
prx,1,1,"330,688","330,688.00",
ps,1,1,"927,979","927,979.00",
pt3,1,1,"2,268","2,268.00",
ptn,1,1,"705,946","705,946.00",
py,1,1,"2,601","2,601.00",
pyd,1,1,"221,184","221,184.00",
qbk,1,1,"12,276","12,276.00",
r0,1,1,"10,620","10,620.00",
r05,1,1,"452,219","452,219.00",
r06,1,1,"18,564","18,564.00",
r08,1,1,"507,789","507,789.00",
rb,1,1,131,131.00,
realm,1,1,"12,288","12,288.00",
ref,1,1,57,57.00,
retx,1,1,"2,441,216","2,441,216.00",
rgs,1,1,"38,719","38,719.00",
rlg,1,1,"4,168,397","4,168,397.00",
rproj,1,1,205,205.00,
rsf,1,1,"822,264","822,264.00",
rsq,1,1,"23,705","23,705.00",
rv,1,1,0,0.00,
rw5,1,1,"14,843","14,843.00",
s,1,1,"1,900","1,900.00",
sas,1,1,"97,401","97,401.00",
searchconnector-ms,1,1,929,929.00,
sfp,1,1,117,117.00,
sh,1,1,"3,577","3,577.00",
shc,1,1,308,308.00,
sheet),1,1,"69,007","69,007.00",
sim,1,1,299,299.00,
skr,1,1,"4,122","4,122.00",
snowleopard,1,1,0,0.00,
so,1,1,"161,760","161,760.00",
spp,1,1,"38,936","38,936.00",
sps,1,1,"54,066","54,066.00",
srg,1,1,0,0.00,
srs,1,1,"10,752","10,752.00",
ssd,1,1,158,158.00,
sss,1,1,"23,146","23,146.00",
stc,1,1,"10,074","10,074.00",
svd,1,1,"586,626","586,626.00",
svl,1,1,"326,467","326,467.00",
swfold,1,1,"374,097","374,097.00",
sy7,1,1,"1,197,299","1,197,299.00",
ta1,1,1,0,0.00,
ta5,1,1,0,0.00,
ta6,1,1,0,0.00,
ta8,1,1,0,0.00,
tab,1,1,"6,802","6,802.00",
taf,1,1,"909,824","909,824.00",
tar,1,1,"6,086,197,248","6,086,197,248.00",
tbl,1,1,300,300.00,
tbp,1,1,"1,263","1,263.00",
tdd,1,1,"164,856","164,856.00",
tex~,1,1,555,555.00,
tile,1,1,"112,787","112,787.00",
tlx,1,1,38,38.00,
toc,1,1,"2,529","2,529.00",
trec,1,1,"58,082,342","58,082,342.00",
tst,1,1,0,0.00,
typ,1,1,"2,093","2,093.00",
umar mahmoud call,1,1,"1,972,269","1,972,269.00",
vmsd,1,1,0,0.00,
vro,1,1,"2,734,028,800","2,734,028,800.00",
vrpmap,1,1,8,8.00,
vsl,1,1,"2,528,768","2,528,768.00",
wbcat,1,1,"14,604,940","14,604,940.00",
website,1,1,420,420.00,
wk1,1,1,"13,689","13,689.00",
wl,1,1,"1,368","1,368.00",
wpl,1,1,411,411.00,
xfdl,1,1,"43,785","43,785.00",
xlg,1,1,745,745.00,
xlx,1,1,"13,767","13,767.00",
xme,1,1,"61,960,038","61,960,038.00",
xmind,1,1,"51,697","51,697.00",
xp,1,1,"7,947","7,947.00",
xpg,1,1,"4,106","4,106.00",
xs,1,1,"3,869","3,869.00",
xslt,1,1,"5,993","5,993.00",
xxx,1,1,"4,179","4,179.00",
xyz,1,1,"94,089","94,089.00",
y00,1,1,"1,428","1,428.00",
y03,1,1,"143,808","143,808.00",
y05,1,1,"287,596","287,596.00",
y07,1,1,"265,376","265,376.00",
y08,1,1,"56,544","56,544.00",
y09,1,1,"128,544","128,544.00",
y0a,1,1,"133,536","133,536.00",
z06,1,1,"1,073,741,824","1,073,741,824.00",
z07,1,1,"1,073,741,824","1,073,741,824.00",
z08,1,1,"1,073,741,824","1,073,741,824.00",
z09,1,1,"1,073,741,824","1,073,741,824.00",
zip auxiliary fuel tank storage rm,1,1,"2,653,573","2,653,573.00",
,"1,038,680","37,301","20,958,189,566,080","20,177,715.53",
